rate_date	close	open	high	low	change_percent
2017-5-12	6.8974	6.9033	6.9071	6.8968	-0.10
2017-5-11	6.904	6.9135	6.9152	6.9021	-0.14
2017-5-10	6.9135	6.9154	6.9184	6.9086	-0.01
2017-5-9	6.914	6.909	6.9177	6.9073	0.08
2017-5-8	6.9088	6.9015	6.9108	6.9003	0.09
2017-5-5	6.9024	6.893	6.9081	6.8909	0.14
2017-5-4	6.8926	6.8947	6.898	6.8907	-0.03
2017-5-3	6.8945	6.8877	6.8952	6.8857	0.07
2017-5-2	6.8894	6.8975	6.9004	6.8882	-0.12
2017-5-1	6.898	6.8977	6.9039	6.8958	0.00
2017-4-28	6.8977	6.9021	6.9057	6.8932	-0.07
2017-4-27	6.9023	6.8971	6.9067	6.8971	0.08
2017-4-26	6.897	6.8889	6.9038	6.8876	0.12
2017-4-25	6.8885	6.883	6.8909	6.882	0.07
2017-4-24	6.8837	6.888	6.8902	6.8772	-0.10
2017-4-21	6.8908	6.8841	6.8935	6.8792	0.09
2017-4-20	6.8848	6.8858	6.8891	6.8796	0.00
2017-4-19	6.885	6.8761	6.8868	6.8739	0.14
2017-4-18	6.8756	6.8789	6.8886	6.8739	-0.04
2017-4-17	6.8783	6.881	6.8843	6.8753	-0.06
2017-4-14	6.8822	6.8853	6.8895	6.8796	-0.05
2017-4-13	6.8853	6.8849	6.8896	6.8693	0.02
2017-4-12	6.8839	6.9006	6.9056	6.8827	-0.24
2017-4-11	6.9008	6.9055	6.9102	6.9001	-0.07
2017-4-10	6.9055	6.898	6.9147	6.8955	0.09
2017-4-7	6.8991	6.89	6.9013	6.8888	0.13
2017-4-6	6.8898	6.8822	6.8938	6.8803	0.11
2017-4-5	6.8825	6.879	6.888	6.8726	0.05
2017-4-4	6.8788	6.8716	6.883	6.8704	0.06
2017-4-3	6.8746	6.8719	6.8796	6.8694	0.04
2017-3-31	6.8719	6.885	6.8921	6.8708	-0.17
2017-3-30	6.8839	6.868	6.8849	6.867	0.25
2017-3-29	6.8668	6.8732	6.8785	6.8663	-0.09
2017-3-28	6.8729	6.8555	6.8772	6.8497	0.25
2017-3-27	6.8555	6.8719	6.8724	6.8453	-0.25
2017-3-24	6.873	6.8704	6.8858	6.8681	0.04
2017-3-23	6.87	6.8638	6.8768	6.8631	0.09
2017-3-22	6.8639	6.8719	6.8819	6.8621	-0.12
2017-3-21	6.8719	6.8891	6.8967	6.8682	-0.25
2017-3-20	6.889	6.8872	6.8994	6.8828	0.03
2017-3-17	6.8867	6.8712	6.8957	6.8693	0.24
2017-3-16	6.8703	6.8477	6.8784	6.8449	0.33
2017-3-15	6.848	6.9009	6.9039	6.8455	-0.77
2017-3-14	6.9008	6.8961	6.9093	6.8937	0.07
2017-3-13	6.8963	6.8856	6.8974	6.8846	0.15
2017-3-10	6.8858	6.9025	6.9145	6.8831	-0.26
2017-3-9	6.904	6.9177	6.9329	6.8941	-0.18
2017-3-8	6.9162	6.8936	6.9215	6.8914	0.32
2017-3-7	6.8939	6.9006	6.9044	6.889	-0.11
2017-3-6	6.9012	6.8957	6.9027	6.8868	0.07
2017-3-3	6.8966	6.8845	6.9077	6.8829	0.16
2017-3-2	6.8853	6.8678	6.889	6.867	0.24
2017-3-1	6.8689	6.8552	6.8781	6.8544	0.20
2017-2-28	6.8554	6.862	6.8648	6.8453	-0.10
2017-2-27	6.862	6.8535	6.8654	6.8509	0.12
2017-2-24	6.8536	6.8495	6.859	6.8471	0.08
2017-2-23	6.8484	6.8565	6.8664	6.8441	-0.13
2017-2-22	6.8574	6.8643	6.8692	6.8545	-0.09
2017-2-21	6.8636	6.8565	6.8705	6.8542	0.09
2017-2-20	6.8575	6.8524	6.864	6.8426	0.07
2017-2-17	6.8524	6.8499	6.8573	6.8451	0.04
2017-2-16	6.8494	6.8421	6.8563	6.8414	0.11
2017-2-15	6.8419	6.858	6.8655	6.8412	-0.23
2017-2-14	6.8579	6.8736	6.8784	6.8472	-0.22
2017-2-13	6.8728	6.864	6.8848	6.8605	0.11
2017-2-10	6.8655	6.8637	6.8735	6.8596	0.03
2017-2-9	6.8636	6.8418	6.8648	6.8405	0.31
2017-2-8	6.8424	6.8347	6.8578	6.8324	0.10
2017-2-7	6.8353	6.8003	6.8403	6.7949	0.51
2017-2-6	6.8003	6.8015	6.8151	6.7969	-0.01
2017-2-3	6.801	6.8093	6.8278	6.7923	-0.13
2017-2-2	6.8099	6.8271	6.8338	6.7999	-0.28
2017-2-1	6.8291	6.8285	6.8406	6.8262	0.02
2017-1-31	6.8274	6.8567	6.8704	6.8209	-0.45
2017-1-30	6.8581	6.8699	6.8738	6.8525	-0.15
2017-1-27	6.8684	6.8486	6.878	6.846	0.26
2017-1-26	6.8503	6.8265	6.8535	6.8133	0.35
2017-1-25	6.8265	6.8222	6.8404	6.8192	0.05
2017-1-24	6.8231	6.8102	6.8288	6.8038	0.18
2017-1-23	6.8106	6.8376	6.8469	6.8078	-0.39
2017-1-20	6.8374	6.846	6.8586	6.8308	-0.13
2017-1-19	6.8464	6.8385	6.8552	6.8278	0.11
2017-1-18	6.8392	6.8023	6.8433	6.8007	0.54
2017-1-17	6.8026	6.8602	6.873	6.7928	-0.83
2017-1-16	6.8594	6.8457	6.8652	6.8432	0.19
2017-1-13	6.8466	6.8595	6.8758	6.8278	-0.20
2017-1-12	6.8606	6.8882	6.9005	6.8384	-0.39
2017-1-11	6.8872	6.9111	6.9185	6.875	-0.34
2017-1-10	6.9109	6.8798	6.9142	6.8684	0.45
2017-1-9	6.88	6.8468	6.8915	6.8467	0.44
2017-1-6	6.8502	6.8007	6.8627	6.7918	0.91
2017-1-5	6.7883	6.8663	6.8976	6.782	-1.14
2017-1-4	6.8665	6.9585	6.9695	6.8655	-1.33
2017-1-3	6.9591	6.9736	6.9882	6.9572	-0.21
2017-1-2	6.974	6.9723	6.9854	6.9717	0.01
2016-12-30	6.9734	6.9633	6.9858	6.96	0.09
2016-12-29	6.9668	6.9713	6.9883	6.9642	-0.06
2016-12-28	6.9712	6.9581	6.9802	6.9494	0.18
2016-12-27	6.9589	6.9531	6.9649	6.952	0.08
2016-12-26	6.9531	6.9591	6.9593	6.9501	-0.07
2016-12-23	6.958	6.9495	6.9596	6.9442	0.13
2016-12-22	6.9488	6.9302	6.9506	6.9296	0.26
2016-12-21	6.9309	6.9401	6.9497	6.9231	-0.12
2016-12-20	6.9393	6.9325	6.9553	6.9314	0.10
2016-12-19	6.9325	6.9638	6.9668	6.9251	-0.45
2016-12-16	6.9635	6.9318	6.9694	6.93	0.44
2016-12-15	6.9332	6.9278	6.952	6.9202	0.09
2016-12-14	6.9271	6.9214	6.9334	6.896	0.09
2016-12-13	6.9212	6.9244	6.9351	6.9182	-0.06
2016-12-12	6.9251	6.9269	6.9446	6.9246	-0.02
2016-12-9	6.9267	6.911	6.9399	6.908	0.20
2016-12-8	6.9127	6.8974	6.9183	6.8884	0.23
2016-12-7	6.8967	6.8879	6.9084	6.8861	0.13
2016-12-6	6.8879	6.8579	6.8891	6.8571	0.45
2016-12-5	6.8571	6.8723	6.8905	6.856	-0.22
2016-12-2	6.8725	6.8792	6.8911	6.8678	-0.11
2016-12-1	6.8804	6.918	6.9205	6.8762	-0.52
2016-11-30	6.9161	6.9149	6.9216	6.8945	0.03
2016-11-29	6.9138	6.9261	6.9302	6.9111	-0.20
2016-11-28	6.9276	6.9464	6.9498	6.9207	-0.26
2016-11-25	6.9456	6.9454	6.9595	6.9352	0.00
2016-11-24	6.9459	6.9543	6.9661	6.9401	-0.12
2016-11-23	6.9543	6.9128	6.9581	6.9099	0.60
2016-11-22	6.913	6.9043	6.9162	6.8964	0.14
2016-11-21	6.9032	6.9077	6.9188	6.899	-0.07
2016-11-18	6.908	6.9035	6.9137	6.8851	0.06
2016-11-17	6.9041	6.8876	6.9055	6.8792	0.21
2016-11-16	6.8899	6.8735	6.8978	6.8712	0.25
2016-11-15	6.873	6.8555	6.8813	6.848	0.26
2016-11-14	6.8552	6.8231	6.865	6.8207	0.46
2016-11-11	6.8235	6.8305	6.8496	6.8008	-0.10
2016-11-10	6.83	6.8335	6.8354	6.8088	-0.06
2016-11-9	6.8341	6.7976	6.8387	6.7736	0.56
2016-11-8	6.796	6.7939	6.8005	6.7866	0.03
2016-11-7	6.7939	6.7723	6.7962	6.7723	0.32
2016-11-4	6.7725	6.7711	6.7738	6.7647	0.03
2016-11-3	6.7702	6.7676	6.7748	6.7642	0.04
2016-11-2	6.7672	6.7726	6.7762	6.7623	-0.09
2016-11-1	6.7733	6.7773	6.7868	6.7716	-0.06
2016-10-31	6.7775	6.7839	6.7881	6.7765	-0.11
2016-10-28	6.7849	6.797	6.8004	6.7841	-0.15
2016-10-27	6.7954	6.7814	6.7975	6.7809	0.16
2016-10-26	6.7847	6.7744	6.7869	6.7735	0.14
2016-10-25	6.7752	6.7839	6.7904	6.7739	-0.11
2016-10-24	6.7829	6.7721	6.7888	6.7702	0.17
2016-10-21	6.7715	6.7471	6.7771	6.7466	0.35
2016-10-20	6.7481	6.7394	6.7509	6.7387	0.14
2016-10-19	6.739	6.7432	6.748	6.7382	-0.06
2016-10-18	6.7431	6.7469	6.7501	6.7392	-0.06
2016-10-17	6.7473	6.739	6.7519	6.7359	0.14
2016-10-14	6.7377	6.7334	6.7387	6.7293	0.05
2016-10-13	6.734	6.725	6.743	6.7239	0.13
2016-10-12	6.7253	6.7289	6.7317	6.7172	-0.05
2016-10-11	6.7287	6.7173	6.7321	6.7149	0.17
2016-10-10	6.7172	6.7065	6.7199	6.7019	0.15
2016-10-7	6.7069	6.7081	6.7193	6.7022	0.00
2016-10-6	6.7071	6.6985	6.7144	6.6918	0.12
2016-10-5	6.6992	6.694	6.7008	6.689	0.08
2016-10-4	6.694	6.6775	6.6956	6.675	0.24
2016-10-3	6.6781	6.6775	6.6808	6.6732	0.06
2016-9-30	6.6743	6.6708	6.683	6.6701	0.05
2016-9-29	6.671	6.6828	6.6889	6.6698	-0.19
2016-9-28	6.6837	6.6841	6.691	6.681	0.00
2016-9-27	6.6838	6.6832	6.6867	6.6773	0.02
2016-9-26	6.6827	6.6799	6.6851	6.6775	0.04
2016-9-23	6.6798	6.6824	6.6848	6.6735	-0.03
2016-9-22	6.6816	6.6679	6.6836	6.6666	0.20
2016-9-21	6.6685	6.6818	6.6851	6.667	-0.19
2016-9-20	6.6813	6.6663	6.6857	6.6643	0.22
2016-9-19	6.6664	6.6544	6.6717	6.6544	0.16
2016-9-16	6.6556	6.6506	6.6589	6.6438	0.08
2016-9-15	6.6502	6.6678	6.6754	6.6479	-0.26
2016-9-14	6.6675	6.6912	6.6941	6.6642	-0.35
2016-9-13	6.691	6.6848	6.6921	6.6842	0.09
2016-9-12	6.6848	6.6955	6.6988	6.6799	-0.18
2016-9-9	6.6967	6.6811	6.7	6.6765	0.24
2016-9-8	6.6805	6.6713	6.6813	6.6632	0.14
2016-9-7	6.6709	6.6756	6.682	6.6653	-0.05
2016-9-6	6.6745	6.6911	6.6997	6.6731	-0.26
2016-9-5	6.6916	6.6982	6.6989	6.6855	-0.10
2016-9-2	6.698	6.6861	6.7006	6.6833	0.18
2016-9-1	6.6861	6.6906	6.6942	6.6834	-0.07
2016-8-31	6.6909	6.6936	6.6974	6.6867	-0.03
2016-8-30	6.6931	6.6892	6.6976	6.6853	0.05
2016-8-29	6.6898	6.6985	6.7032	6.6863	-0.05
2016-8-26	6.6932	6.6683	6.6979	6.6648	0.37
2016-8-25	6.6685	6.6723	6.6741	6.6665	-0.06
